institution,prev_doc_year,revision_year,delta_pcsi,comparability,timing_tier,direction,main_sample,source
"University of South Carolina",1994,2005,0.160,C,A,up,1,sept25_pdf_appendix_A1
"Stevens Institute of Technology",2000,2014,0.058,P,B,up,1,sept25_pdf_appendix_A1
"Albert Einstein/Yeshiva",1985,2015,0.065,C,B,up,1,sept25_pdf_appendix_A1
"University of Minnesota",2010,2015,0.046,C,A,up,1,sept25_pdf_appendix_A1
"Utah State University",2002,2016,0.078,C,A,up,1,sept25_pdf_appendix_A1
"Boston University",2000,2017,0.055,C,A,up,1,sept25_pdf_appendix_A1
"Stanford University",1989,1994,-0.046,P,A,down,1,sept25_pdf_appendix_A1
"University of Georgia",1982,1995,-0.135,C,B,down,1,sept25_pdf_appendix_A1
"Rutgers the State University of NJ",1996,2000,-0.130,P,B,down,1,sept25_pdf_appendix_A1
"Tulane University",1985,2001,-0.046,C,B,down,1,sept25_pdf_appendix_A1
"North Carolina State University",2002,2003,-0.031,C,A,down,1,sept25_pdf_appendix_A1
"Oregon State University",2001,2003,-0.226,P,A,down,1,sept25_pdf_appendix_A1
"Brown University",1981,2005,-0.036,C,A,down,1,sept25_pdf_appendix_A1
"University of Maryland, Baltimore (UMB)",1990,2005,-0.043,C,B,down,1,sept25_pdf_appendix_A1
"University of South Alabama",1984,2005,-0.034,C,B,down,1,sept25_pdf_appendix_A1
"Harvard University",1998,2008,-0.086,P,A,down,1,sept25_pdf_appendix_A1
"Clemson University",1991,2009,-0.103,C,B,down,1,sept25_pdf_appendix_A1
"University of Dayton",1996,2015,-0.044,P,A,down,1,sept25_pdf_appendix_A1
"University of Idaho",1998,2016,-0.037,C,A,down,1,sept25_pdf_appendix_A1
"North Dakota State University",2016,2017,-0.031,P,B,down,1,sept25_pdf_appendix_A1
"Oklahoma State University",2010,2019,-0.057,C,A,down,1,sept25_pdf_appendix_A1
"West Virginia University",2016,2019,-0.108,C,A,down,1,sept25_pdf_appendix_A1
"Brandeis University",2004,2020,-0.072,C,B,down,1,sept25_pdf_appendix_A1
"University of Hawaii",2014,2020,-0.037,C,A,down,1,sept25_pdf_appendix_A1
"University of South Carolina",2005,2021,-0.047,C,A,down,1,sept25_pdf_appendix_A1
