sample,outcome,events,up_events,down_events,gap,cluster_se,pre_p,upward,downward,permutation_p,permutation_mc_se,n,clusters
expanded34,ln_licenses,34,8,26,0.49498236075777713,0.1395573357139685,0.3197216307692614,0.27920081748945946,-0.21578154326831772,0.03129843507824609,0.0012312052463651262,26555,149
expanded34,filing_margin,34,8,26,0.3919410464830753,0.15548427532345283,0.7526012042863458,0.1430857600531763,-0.24885528642989904,0.09889505524723764,0.0021108098893137515,26679,149
expanded34,ln_new_patent_apps,34,8,26,0.26025519416194326,0.17540396028570177,0.8912417847372852,0.1357654880297378,-0.12448970613220545,0.20603969801509925,0.0028598877766343473,26679,149
expanded34,ln_patents_issued,34,8,26,0.1367079239205333,0.19038076563628573,0.4699249747073705,0.17101120214280505,0.03430327822227171,0.5378231088445578,0.003525315479415306,26151,149
expanded34,ln_disclosures,34,8,26,-0.13168585232113222,0.09518079518800855,0.4008296587966924,-0.007320272023438703,0.12436558029769351,0.3822808859557022,0.003436061725787549,26679,149
strict29,ln_licenses,29,7,22,0.4987653009188467,0.13256833385897276,0.5166507499863187,0.229915077335931,-0.26885022358291566,0.027498625068746563,0.00115631123907868,23079,149
strict29,filing_margin,29,7,22,0.360953317520509,0.15838744570582136,0.6761146535526136,0.14054385199889596,-0.22040946552161306,0.12344382780860957,0.0023259410910705454,23186,149
strict29,ln_new_patent_apps,29,7,22,0.16741459824308105,0.17664185132628982,0.8578332523235542,0.10758568665976889,-0.05982891158331215,0.3938303084845758,0.003454823156114359,23186,149
strict29,ln_patents_issued,29,7,22,0.12203331005858595,0.20262890632224545,0.3467634076477657,0.15379081331611533,0.0317575032575294,0.6015699215039249,0.0034617305460370048,22691,149
strict29,ln_disclosures,29,7,22,-0.1935387192774277,0.09844449413853469,0.4910809532177681,-0.032958165339127016,0.16058055393830067,0.20443977801109944,0.0028516313171297494,23186,149
